wallet,score,total_tx,deposit_count,borrow_count,repay_count,liquidation_count,borrow_to_deposit,repay_to_borrow,active_days,avg_usd_deposit,avg_usd_borrow
0x000f4432a40560bbff1b581a8b7aded8dab80026,504,25,7,6,3,0,0.75,0.42857142857142855,18.144305555555555,4.498394857555379e+21,2933996519.950503
0x000f7f22bfc28d940d4b68e13213ab17cf107790,302,73,26,19,13,0,0.7037037037037037,0.65,2.827002314814815,1.5747194226246746e+24,1.812435804216319e+24
0x000f908720f9ce164d90f4fc89459fab4442907f,501,96,32,30,17,0,0.9090909090909091,0.5483870967741935,1.3537152777777777,4.792231894787949e+19,2.6548103346521022e+19
0x000fbfec300959d0f2f327728a889c1f5de8e2df,503,8,3,1,1,0,0.25,0.5,8.035497685185184,1.971427511896594e+20,1.4001063060029029e+20
0x0011730224657eb527cf736039854c3a3f140e63,498,4,1,1,1,0,0.5,0.5,0.0015972222222222223,1.5073242050250017e+21,7.380253561825902e+20
0x00120ea6fdbaf057eadc1bd149f957488444e92c,499,4,2,1,1,0,0.3333333333333333,0.5,0.05458333333333333,1.3056294585586701e+20,2602967.788219515
0x0012668072f7e0579caf7e047713d8b6d476d0db,501,2,2,0,0,0,0.0,0.0,2.7753703703703705,1.1480907437607611e+18,0.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,330,231,101,24,93,2,0.23529411764705882,3.72,62.002928240740744,1.8204295151693903e+20,2.0688223935968277e+20
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,500,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,500,1,1,0,0,0,0.0,0.0,0.0,2.0424043145808832e+17,0.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,502,2,2,0,0,0,0.0,0.0,6.0942592592592595,1217668.8909299124,0.0
0x0014dfac19477a83d7354e6eaac28642c1959398,512,36,10,6,9,0,0.5454545454545454,1.2857142857142858,30.192581018518517,8.672151626282623e+21,3024833604.651806
0x001589fe1923c2118f34e4277f2ef650fcbf0161,539,30,19,2,0,0,0.1,0.0,132.77488425925927,1.9781405861098294e+20,7.099734582641065e+20
0x00159370cbe576b765a7fb2e78582e0cb563d445,505,19,10,7,0,0,0.6363636363636364,0.0,20.828761574074075,2.45109077740698e+20,3.3553383146953166e+20
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,500,2,1,0,0,0,0.0,0.0,0.02034722222222222,14143677.216766179,0.0
0x0016469a65facda9e86fd0ae0e9661128843c224,496,2,1,1,0,0,0.5,0.0,0.0,2.066851083836642e+16,4676133673838557.0
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,500,1,1,0,0,0,0.0,0.0,0.0,2.0245672002376752e+17,0.0
0x00183135585d70a523d61b2e43037a7138b36906,518,54,15,13,10,0,0.8125,0.7142857142857143,57.14190972222222,1.1081529247051129e+20,2.961376964424739e+20
0x00184e8aa1e95f491f2d9601e12b540092160ded,498,4,1,1,1,0,0.5,0.5,0.0008333333333333334,1.0230571110800009e+20,2.498479710580002e+19
0x0018583d7654803d2c59467e10dec5f70bbe1851,519,72,72,0,0,0,0.0,0.0,22.195231481481482,3619210119775.1504,0.0
0x001875a076b3cfe1c9535d76b0345c16e3d61118,502,2,2,0,0,0,0.0,0.0,5.458935185185185,1129804.9391017237,0.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,520,22,9,2,2,0,0.2,0.6666666666666666,53.29346064814815,3.1911479052069094e+21,560775.7363531613
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,502,5,0,1,2,0,1.0,1.0,14.21355324074074,0.0,79004124.43596895
0x0019bd9f6142943f3a03a8a62d0001a95213f555,500,1,1,0,0,0,0.0,0.0,0.0,1.2660839226404059e+17,0.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,496,2,1,1,0,0,0.5,0.0,0.0014351851851851852,9.012925262863052e+20,498740594.39622635
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,509,32,10,6,7,0,0.5454545454545454,1.0,23.079467592592593,4.671078768415252e+18,39146369.04983479
0x001bc97d92e1a30b02d4e75be25f06063555d556,503,45,12,10,9,0,0.7692307692307693,0.8181818181818182,9.53417824074074,9.560285192690724e+21,5444583740.909295
0x001be549fa377710b9e59d57bbdf593ce1e379ca,507,2,2,0,0,0,0.0,0.0,20.678125,7.93042463414108e+17,0.0
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,503,2,2,0,0,0,0.0,0.0,9.698611111111111,9.062143267743456e+17,0.0
0x001d2a3192a49e28cac0a7abcaa916648c62b982,500,1,1,0,0,0,0.0,0.0,0.0,1.5659901853326884e+18,0.0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,500,1,1,0,0,0,0.0,0.0,0.0,1133785.1305503868,0.0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,500,1,1,0,0,0,0.0,0.0,0.0,566640822.6639781,0.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,522,6,5,0,0,0,0.0,0.0,68.25821759259259,2.392606463359889e+20,0.0
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,500,1,1,0,0,0,0.0,0.0,0.0,23605.146373711013,0.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,500,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,502,2,2,0,0,0,0.0,0.0,6.116898148148148,5.78978166894801e+17,0.0
0x00222d56e0509a5e9ab05c588c548290a5e9f876,500,1,1,0,0,0,0.0,0.0,0.0,1.10570237623672e+18,0.0
0x002379916ac42a432f3b53f16782d33267debb4c,500,1,1,0,0,0,0.0,0.0,0.0,1.1886507952922616e+18,0.0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,502,2,2,0,0,0,0.0,0.0,5.45849537037037,1129804.9391017237,0.0
0x0023d9ffe7d793895c5da5833d56c737832ead2b,500,2,2,0,0,0,0.0,0.0,0.0008564814814814815,7594789.452753693,0.0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,500,1,1,0,0,0,0.0,0.0,0.0,5129981.410556754,0.0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,500,2,2,0,0,0,0.0,0.0,1.014375,1.5516527491310477e+18,0.0
0x0024461e7a8ce7157866eaa4c24b702d328250ce,500,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
